Unnamed: 0,안흥지 애련정,소래역사관,KT&G상상마당 홍대,명동난타극장,백운계곡관광지
칠궁,0.9180775281370286,0.9645661211071764,0.9063557019114772,0.9373267256462036,0.93513397511212
청와대 본관,0.8731085569826865,0.9148516041902892,0.777178876525487,0.94960248604723,0.8847762281357773
의정부음악도서관,0.7631797542691517,0.7927354899459046,0.6795511473784301,0.7488001356420572,0.7404734872427672
수원화성박물관,0.8542884549253954,0.8895708461758993,0.8114384540954733,0.8316365512161812,0.8407050885776112
수원화성,0.9830053066433802,0.9992627181125584,0.988221436984688,0.9960372260582409,0.9928753513301524
킨텍스 제2전시장,0.9207058998648364,0.973685841734372,0.8477640194438814,0.9692459487900648,0.9519543010361808
중남미문화원,0.97218957466986,0.9834701914335638,0.8915603984781214,0.9854732094444946,0.9899900915951588
라페스타,0.9477108981941484,0.9566710701983596,0.8762228569094437,0.9390167826201242,0.9512699382719876
낙산공원,0.9803898110501597,0.9802291905778048,0.8345719294898182,0.9848615154619328,0.972039999417259
혜화문,0.8256256159354785,0.8643866329933012,0.8950295265944272,0.8420310646097084,0.8264075503721383
아트스페이스J,0.9462121888706368,0.977789150577391,0.8676801741138355,0.9796155428598642,0.953677682594579
남한산성,0.9871700141062674,0.9965593511919392,0.9825088339222614,0.9917742419693784,0.9925485325838292
렛츠런파크서울,0.9758178276348493,0.9984025559105432,0.9944051825677268,0.9987391173821676,0.9880384338845676
흥인지문공원,0.9375283432747956,0.9580468317257598,0.7955702706492547,0.9600258236863616,0.9650519480551978
서대문형무소역사관,0.8821653255316106,0.9450366691131926,0.9429933793044084,0.924662539643362,0.8944290582151349
힐튼가든인 서울강남점,0.7934018963668641,0.834012863002676,0.6869766828863497,0.8642141793512111,0.7916721738845882
틴틴홀,0.949821992342312,0.9893708527893832,0.9977620730270906,0.996577604323026,0.966403032877966
세빛섬,0.9118392673581402,0.9148318642063746,0.7915258290193472,0.9195927882076788,0.9315536069348852
청운문학도서관,0.9420367447582776,0.933441887533913,0.8337638683909727,0.9248794046925009,0.9459692016356008
이촌한강공원,0.9229201385904258,0.9524973659555864,0.9024838025911194,0.9210712915664824,0.914901027578748
평화랜드,0.9299985823058462,0.9676228107936125,0.947986863605666,0.9352224415921928,0.9475979225281932
임진각 평화누리,0.9891851951366964,0.9956991889899238,0.9763250883392226,0.988291804262984,0.9955552650500032
"국립공원공단 북한산생태탐방원, 광륜사",0.9894538859407538,0.99250430081101,0.9740282685512368,0.9873311317922544,0.998300542519119
녹야선원,0.9634203493546704,0.9629138416618368,0.849908158597878,0.965721460688772,0.9981322572771664
